"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.918548591E2,3.424428864E0,-4.725672913E-1,-1.334325256E0
1.918749611E2,4.284989319E0,5.987548828E-1,-7.963439941E-1
1.918950631E2,1.583107910E0,-1.083102676E1,-1.758842468E-1
1.919151651E2,2.242037659E0,-1.785606812E1,1.516646118E0
1.919553691E2,1.446891174E0,-2.270134232E1,1.006207581E1
1.919754711E2,5.040019226E-1,-1.348470840E1,5.827232208E0
1.919955721E2,5.869294739E-1,-4.949008484E0,2.299817505E0
1.920156741E2,1.433568878E0,-2.000140686E0,3.075504456E0
1.920357762E2,9.822573853E-1,-6.431675262E0,5.151387634E0
1.920558782E2,-8.457412720E-2,-9.733059998E0,5.722150726E0
1.920759802E2,1.236129456E0,-7.694748688E0,5.288652191E0
1.920960822E2,1.792223053E0,-7.685168610E0,5.121449890E0
1.921161842E2,2.199975128E0,-9.062454529E0,4.955894165E0
1.921362862E2,2.877166901E0,-1.000264938E1,4.759801941E0
1.921563882E2,4.191284180E0,-1.038645126E1,3.920347595E0
1.921764902E2,5.590574341E0,-9.421707458E0,3.001408539E0
1.921965912E2,5.485642548E0,-9.094487915E0,2.428549805E0
1.922166932E2,4.379742279E0,-9.427096252E0,3.167413330E-1
1.922367952E2,1.723366241E0,-1.011820908E1,-2.004182281E0
1.922568972E2,2.335144043E0,-8.507558441E0,2.062860260E0
1.922769992E2,3.115770721E0,-7.014712830E0,3.642076263E0
1.922971012E2,2.745590515E0,-7.696095886E0,4.384083252E0
1.923172032E2,9.565109253E-1,-9.825567627E0,4.894970856E0
1.923373052E2,-3.757186890E-1,-1.209978836E1,2.914439392E0
1.923574072E2,-1.414109344E0,-1.162482605E1,5.448669434E-1
1.923775092E2,-2.123783569E0,-9.845925293E0,-3.570075989E-1
1.923976102E2,-2.493514709E0,-9.136251068E0,-3.387455750E-1
1.924177122E2,-5.698649597E-1,-7.978708191E0,-6.730004883E-1
1.924378142E2,5.864355011E0,-4.445755005E-2,-1.915267181E0
1.924579162E2,5.603447571E0,-7.606432343E0,1.981130219E0
1.924780182E2,9.521849213E0,-1.348755249E1,5.196144562E0
1.924981202E2,5.553900604E0,-1.603151230E1,6.925648041E0
1.925182222E2,2.321672058E-1,-1.369801483E1,2.241588593E0
1.925383242E2,-5.225333862E0,-1.191836563E1,-1.200204163E0
1.925584262E2,-7.731123047E0,-1.161434784E1,-2.021845551E0
1.925785282E2,-5.265749817E0,-1.059257263E1,-8.797206116E-1
1.925986292E2,2.070195007E-1,-1.094538895E1,-1.284329224E-1
1.926187312E2,6.997947693E0,-1.437236252E1,-6.776558075E0
1.926388332E2,1.096978821E1,-1.734128860E1,-1.034109558E1
1.926589352E2,2.674488373E0,-1.677516586E1,-7.738906860E-1
1.926790372E2,-2.895428925E0,-1.682351532E1,2.890489197E0
1.926991392E2,-7.336244202E-1,-1.405142990E1,8.963659973E0
