"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.537432000E0,-7.499328852E-1,-9.003204703E-1,-1.973633468E-1
7.557534000E0,-2.384405136E0,3.517713547E0,-2.064695209E-1
7.577636000E0,-1.373747706E0,4.882158279E0,3.965569288E-2
7.597737000E0,-1.013003230E0,3.347265720E0,-3.478505313E-1
7.617839000E0,-1.636419177E0,9.454314709E-1,-5.767664313E-1
7.637940000E0,-2.023119450E0,-7.190251350E-1,2.645274401E-1
7.658042000E0,-1.568033576E0,-1.772882462E0,9.809098244E-1
7.678144000E0,-4.200866222E-1,-9.063341022E-1,8.947823048E-1
7.698245000E0,6.247681975E-1,1.816113353E0,2.920162082E-1
7.718347000E0,6.448793411E-1,2.889407873E0,-3.460576832E-1
7.738449000E0,2.965559959E-1,2.130205870E0,-3.775696158E-1
7.758550000E0,2.119657248E-1,1.243634701E0,3.194733858E-1
7.778652000E0,5.048432946E-1,6.673522592E-1,8.513466716E-1
7.798753000E0,7.726693749E-1,-1.245077774E-1,1.041207910E0
7.818855000E0,8.261503577E-1,-1.099295020E0,9.711496830E-1
7.838957000E0,9.488540888E-1,-9.965711236E-1,9.340584874E-1
